subject_id,model_type,accuracy,f1_score,class_metrics,confusion_matrix,num_samples,ensemble_weight,model_selection,base_model_count,personal_model_count,base_model_pct,personal_model_pct
7,personal,0.9285714285714286,0.9305235556669527,"{""Baseline"": {""correct"": 33, ""total"": 39, ""accuracy_pct"": 84.61538461538461}, ""Stress"": {""correct"": 21, ""total"": 21, ""accuracy_pct"": 100.0}, ""Amusement"": {""correct"": 12, ""total"": 12, ""accuracy_pct"": 100.0}, ""Meditation"": {""correct"": 25, ""total"": 26, ""accuracy_pct"": 96.15384615384616}}","[[33, 0, 5, 1], [0, 21, 0, 0], [0, 0, 12, 0], [1, 0, 0, 25]]",98,,,,,,
7,ensemble,0.9489795918367347,0.9484278155706727,"{""Baseline"": {""correct"": 38, ""total"": 39, ""accuracy_pct"": 97.43589743589743}, ""Stress"": {""correct"": 21, ""total"": 21, ""accuracy_pct"": 100.0}, ""Amusement"": {""correct"": 12, ""total"": 12, ""accuracy_pct"": 100.0}, ""Meditation"": {""correct"": 22, ""total"": 26, ""accuracy_pct"": 84.61538461538461}}","[[38, 0, 1, 0], [0, 21, 0, 0], [0, 0, 12, 0], [4, 0, 0, 22]]",98,0.6,,,,,
7,adaptive,0.9387755102040817,0.9386250654107797,"{""Baseline"": {""correct"": 37, ""total"": 39, ""accuracy_pct"": 94.87179487179486}, ""Stress"": {""correct"": 21, ""total"": 21, ""accuracy_pct"": 100.0}, ""Amusement"": {""correct"": 12, ""total"": 12, ""accuracy_pct"": 100.0}, ""Meditation"": {""correct"": 22, ""total"": 26, ""accuracy_pct"": 84.61538461538461}}","[[37, 0, 2, 0], [0, 21, 0, 0], [0, 0, 12, 0], [4, 0, 0, 22]]",98,,"{'Baseline': {'base_model_used': 32, 'personal_model_used': 7, 'base_model_pct': 82.05128205128204, 'personal_model_pct': 17.94871794871795}, 'Stress': {'base_model_used': 21, 'personal_model_used': 0, 'base_model_pct': 100.0, 'personal_model_pct': 0.0}, 'Amusement': {'base_model_used': 9, 'personal_model_used': 3, 'base_model_pct': 75.0, 'personal_model_pct': 25.0}, 'Meditation': {'base_model_used': 24, 'personal_model_used': 2, 'base_model_pct': 92.3076923076923, 'personal_model_pct': 7.6923076923076925}}",86.0,12.0,87.75510204081633,12.244897959183673
8,base,0.9191919191919192,0.9185314053606737,"{""Baseline"": {""correct"": 37, ""total"": 39, ""accuracy_pct"": 94.87179487179486}, ""Stress"": {""correct"": 17, ""total"": 22, ""accuracy_pct"": 77.27272727272727}, ""Amusement"": {""correct"": 11, ""total"": 12, ""accuracy_pct"": 91.66666666666666}, ""Meditation"": {""correct"": 26, ""total"": 26, ""accuracy_pct"": 100.0}}","[[37, 0, 2, 0], [5, 17, 0, 0], [1, 0, 11, 0], [0, 0, 0, 26]]",99,,,,,,
8,personal,0.8585858585858586,0.854754616875829,"{""Baseline"": {""correct"": 34, ""total"": 39, ""accuracy_pct"": 87.17948717948718}, ""Stress"": {""correct"": 14, ""total"": 22, ""accuracy_pct"": 63.63636363636363}, ""Amusement"": {""correct"": 11, ""total"": 12, ""accuracy_pct"": 91.66666666666666}, ""Meditation"": {""correct"": 26, ""total"": 26, ""accuracy_pct"": 100.0}}","[[34, 0, 4, 1], [7, 14, 0, 1], [0, 0, 11, 1], [0, 0, 0, 26]]",99,,,,,,
8,ensemble,0.9191919191919192,0.9185314053606737,"{""Baseline"": {""correct"": 37, ""total"": 39, ""accuracy_pct"": 94.87179487179486}, ""Stress"": {""correct"": 17, ""total"": 22, ""accuracy_pct"": 77.27272727272727}, ""Amusement"": {""correct"": 11, ""total"": 12, ""accuracy_pct"": 91.66666666666666}, ""Meditation"": {""correct"": 26, ""total"": 26, ""accuracy_pct"": 100.0}}","[[37, 0, 2, 0], [5, 17, 0, 0], [1, 0, 11, 0], [0, 0, 0, 26]]",99,0.6,,,,,
8,adaptive,0.9191919191919192,0.9185314053606737,"{""Baseline"": {""correct"": 37, ""total"": 39, ""accuracy_pct"": 94.87179487179486}, ""Stress"": {""correct"": 17, ""total"": 22, ""accuracy_pct"": 77.27272727272727}, ""Amusement"": {""correct"": 11, ""total"": 12, ""accuracy_pct"": 91.66666666666666}, ""Meditation"": {""correct"": 26, ""total"": 26, ""accuracy_pct"": 100.0}}","[[37, 0, 2, 0], [5, 17, 0, 0], [1, 0, 11, 0], [0, 0, 0, 26]]",99,,"{'Baseline': {'base_model_used': 36, 'personal_model_used': 3, 'base_model_pct': 92.3076923076923, 'personal_model_pct': 7.6923076923076925}, 'Stress': {'base_model_used': 20, 'personal_model_used': 2, 'base_model_pct': 90.9090909090909, 'personal_model_pct': 9.090909090909092}, 'Amusement': {'base_model_used': 12, 'personal_model_used': 0, 'base_model_pct': 100.0, 'personal_model_pct': 0.0}, 'Meditation': {'base_model_used': 19, 'personal_model_used': 7, 'base_model_pct': 73.07692307692307, 'personal_model_pct': 26.923076923076923}}",87.0,12.0,87.87878787878788,12.121212121212121
9,base,0.9897959183673469,0.9898483102090125,"{""Baseline"": {""correct"": 38, ""total"": 39, ""accuracy_pct"": 97.43589743589743}, ""Stress"": {""correct"": 21, ""total"": 21, ""accuracy_pct"": 100.0}, ""Amusement"": {""correct"": 12, ""total"": 12, ""accuracy_pct"": 100.0}, ""Meditation"": {""correct"": 26, ""total"": 26, ""accuracy_pct"": 100.0}}","[[38, 1, 0, 0], [0, 21, 0, 0], [0, 0, 12, 0], [0, 0, 0, 26]]",98,,,,,,
9,personal,0.8673469387755102,0.8677836925677458,"{""Baseline"": {""correct"": 33, ""total"": 39, ""accuracy_pct"": 84.61538461538461}, ""Stress"": {""correct"": 16, ""total"": 21, ""accuracy_pct"": 76.19047619047619}, ""Amusement"": {""correct"": 12, ""total"": 12, ""accuracy_pct"": 100.0}, ""Meditation"": {""correct"": 24, ""total"": 26, ""accuracy_pct"": 92.3076923076923}}","[[33, 6, 0, 0], [1, 16, 0, 4], [0, 0, 12, 0], [1, 0, 1, 24]]",98,,,,,,
9,ensemble,0.9387755102040817,0.9400510204081632,"{""Baseline"": {""correct"": 33, ""total"": 39, ""accuracy_pct"": 84.61538461538461}, ""Stress"": {""correct"": 21, ""total"": 21, ""accuracy_pct"": 100.0}, ""Amusement"": {""correct"": 12, ""total"": 12, ""accuracy_pct"": 100.0}, ""Meditation"": {""correct"": 26, ""total"": 26, ""accuracy_pct"": 100.0}}","[[33, 6, 0, 0], [0, 21, 0, 0], [0, 0, 12, 0], [0, 0, 0, 26]]",98,0.4,,,,,
9,adaptive,0.9693877551020408,0.9697959183673469,"{""Baseline"": {""correct"": 36, ""total"": 39, ""accuracy_pct"": 92.3076923076923}, ""Stress"": {""correct"": 21, ""total"": 21, ""accuracy_pct"": 100.0}, ""Amusement"": {""correct"": 12, ""total"": 12, ""accuracy_pct"": 100.0}, ""Meditation"": {""correct"": 26, ""total"": 26, ""accuracy_pct"": 100.0}}","[[36, 3, 0, 0], [0, 21, 0, 0], [0, 0, 12, 0], [0, 0, 0, 26]]",98,,"{'Baseline': {'base_model_used': 35, 'personal_model_used': 4, 'base_model_pct': 89.74358974358975, 'personal_model_pct': 10.256410256410255}, 'Stress': {'base_model_used': 21, 'personal_model_used': 0, 'base_model_pct': 100.0, 'personal_model_pct': 0.0}, 'Amusement': {'base_model_used': 12, 'personal_model_used': 0, 'base_model_pct': 100.0, 'personal_model_pct': 0.0}, 'Meditation': {'base_model_used': 25, 'personal_model_used': 1, 'base_model_pct': 96.15384615384616, 'personal_model_pct': 3.8461538461538463}}",93.0,5.0,94.89795918367348,5.1020408163265305
